"true_model","true_slope","true_nknots","bic_true_model","adaflasso","slope_OLS_adaflasso","nknots_adaflasso","bic_adaflasso","best_iter","changepoints","nknots_best_iter","slope_best_iter","min_bic_best_iter","distance_adaflasso","slope_adaflasso","distance_best_iter_flasso"
"301,501,819",-0.005,3,6901.80811681007,"299,501,819",-0.00489793940600776,3,6896.92669239795,2,"299,501,819",3,-0.00489793940600776,6896.89622,0.002,-0.00489793940600776,0.002
"214,482,734",-0.005,3,7032.61190496355,"215,482,734",-0.0050470624167452,3,7023.9097598856,2,"215,482,734",3,-0.0050470624167452,7023.17856,0.001,-0.0050470624167452,0.001
"138,264,391,520,637,742,849",-0.005,7,6987.61015745463,"138,264,390,520,636,639,742,849",-0.00482530073191518,8,6993.3866434054,3,"138,264,390,520,636,742,849",7,-0.0049475528723675,6974.01961,1.002,-0.00482530073191518,0.002
"113,215,380,519,625,738,872",-0.005,7,7010.54711755552,"111,212,216,380,519,624,739,873",-0.00528616157524489,8,7001.32807997233,3,"111,216,380,519,624,739,873",7,-0.00511211079660919,6991.53336,1.006,-0.00528616157524489,0.006
"155,277,400,532,653,769,886",-0.005,7,6949.03434113024,"276,769",-0.0187374964158806,2,7084.45493172706,2,"276,769",2,-0.0187374964158806,7082.17356,5.001,-0.0187374964158806,5.001
"514",-0.005,1,6958.01111853068,"514",-0.00509741908962942,1,6957.61572961305,2,"514",1,-0.00509741908962942,6957.61459,0,-0.00509741908962942,0
"169,333,436,619,720,827",-0.005,6,6911.35403225298,"169,335,436,439,619,720,784,827",-0.00523407584802322,8,6931.79492374142,3,"169,335,436,619,720,827",6,-0.0049932210427185,6907.10426,2.002,-0.00523407584802322,0.002
"277,471,590,713",-0.005,4,6992.44519172916,"277,470,590,713",-0.00470262150993706,4,6986.36196310401,2,"277,470,590,713",4,-0.00470262150993706,6986.04198,0.001,-0.00470262150993706,0.001
"211,364,584,767",-0.005,4,6904.93132913279,"213,364,585,764",-0.00505124540759418,4,6888.72291482793,2,"213,364,585,764",4,-0.00505124540759418,6887.15731,0.006,-0.00505124540759418,0.006
"462,638",-0.005,2,6937.70769713507,"463,638",-0.00549878767865567,2,6932.84568867918,2,"463,638",2,-0.00549878767865567,6932.40602,0.001,-0.00549878767865567,0.001
"122,254,382,497,602,741,853",-0.005,7,6979.020386518,"123,254,602,631,640,741",0.0060217155111748,6,7086.61143350611,3,"123,254,602,640,741",5,0.00601007735948249,7056.85046,1.235,0.0060217155111748,2.319
"124,260,530,777",-0.005,4,6981.79075323666,"122,127,259,530,777",-0.00544915884949498,5,6982.54070378104,3,"122,259,530,777",4,-0.00535497897160521,6973.78493,1.003,-0.00544915884949498,0.003
"246,419,653",-0.005,3,6985.07025591772,"246,419,423,653",-0.00462657669163684,4,6991.49027519115,4,"246,419,653",3,-0.00469393340340172,6980.81168,1,-0.00462657669163684,0
"179,529,819",-0.005,3,6931.89490048131,"182,529,819",-0.00517850668548035,3,6918.76143984917,2,"182,529,819",3,-0.00517850668548035,6917.20985,0.003,-0.00517850668548035,0.003
"221,468,680,829",-0.005,4,6988.7290501906,"219,463,677,828",-0.00455451078010175,4,6983.27702752896,2,"219,463,677,828",4,-0.00455451078010175,6974.941,0.011,-0.00455451078010175,0.011
"600",-0.005,1,6814.37860892488,"600",-0.00523157009403521,1,6808.03870107655,2,"600",1,-0.00523157009403521,6808.03772,0,-0.00523157009403521,0
"152,301,442,604,707,883",-0.005,6,6907.90512132261,"152,300,442,604,707,885",-0.00436981071921247,6,6891.84846055259,2,"152,300,442,604,707,885",6,-0.00436981071921247,6885.88708,0.003,-0.00436981071921247,0.003
"132,260,397,513,622,749,888",-0.005,7,7013.928778308,"131,260,394,513,622,749,890",-0.00547552157163779,7,6999.42750866973,2,"131,260,394,513,622,749,890",7,-0.00547552157163779,6986.28071,0.006,-0.00547552157163779,0.006
"187,374,487,607,735,848",-0.005,6,6993.08306987326,"187,373,487,607,735,848",-0.00606140169385997,6,6984.35686375976,2,"187,373,487,607,735,848",6,-0.00606140169385997,6982.71469,0.001,-0.00606140169385997,0.001
"152,381,631,830",-0.005,4,7074.24653207247,"152,381,384,631,830",-0.00452037812986491,5,7080.45710541777,5,"152,381,631,830",4,-0.00464281731852169,7069.83061,1,-0.00452037812986491,0
"201,360,576,728,868",-0.005,5,7014.12129817676,"189,201,361,576,729,868",-0.00496654839147222,6,7003.92217218204,3,"201,361,576,729,868",5,-0.00520354241015887,6990.62316,1.002,-0.00496654839147222,0.002
"232,476,820",-0.005,3,6857.39517698831,"232,234,479,480,819",-0.00498221623470317,5,6867.5685432912,4,"232,479,819",3,-0.00495418483665479,6843.74102,2.004,-0.00498221623470317,0.004
"203,390,528,628,859",-0.005,5,7009.96900124584,"202,203,390,533,628,858",-0.00529109703883601,6,7031.7818486606,4,"203,390,533,628,858",5,-0.00526668169779808,7005.93828,1.006,-0.00529109703883601,0.006
"212,342,519,732,901",-0.005,5,6980.09709062751,"216,342,519,732,900",-0.00472214567198165,5,6959.63194741755,2,"216,342,519,732,900",5,-0.00472214567198165,6953.75636,0.005,-0.00472214567198165,0.005
"235,431,699,866",-0.005,4,6963.54348980208,"234,431,700,866",-0.00587170668449088,4,6955.16312201983,2,"234,431,700,866",4,-0.00587170668449088,6954.85969,0.002,-0.00587170668449088,0.002
"123,253,385,506,634,762,869",-0.005,7,6950.21611236783,"123,247,254,386,506,634,763,869",-0.00478053927954219,8,6945.09431853962,3,"123,254,386,506,634,763,869",7,-0.00448101345719927,6935.75083,1.003,-0.00478053927954219,0.003
"215,575",-0.005,2,6980.73775656027,"215,577",-0.00444328964993906,2,6973.50599244298,2,"215,577",2,-0.00444328964993906,6973.50579,0.002,-0.00444328964993906,0.002
