"true_model","true_slope","true_nknots","bic_true_model","flasso","slope_flasso","nknots_flasso","bic_flasso","adaflasso","slope_adaflasso","nknots_adaflasso","bic_adaflasso","iter2flasso","slope_iter2flasso","nknots_iter2flasso","bic_iter2flasso","iter3flasso","slope_iter3flasso","nknots_iter3flasso","bic_iter3flasso","iter4flasso","slope_iter4flasso","nknots_iter4flasso","bic_iter4flasso","iter5flasso","slope_iter5flasso","nknots_iter5flasso","bic_iter5flasso","iter6flasso","slope_iter6flasso","nknots_iter6flasso","bic_iter6flasso","iter7flasso","slope_iter7flasso","nknots_iter7flasso","bic_iter7flasso","iter8flasso","slope_iter8flasso","nknots_iter8flasso","bic_iter8flasso","iter9flasso","slope_iter9flasso","nknots_iter9flasso","bic_iter9flasso","iter10flasso","slope_iter10flasso","nknots_iter10flasso","bic_iter10flasso","PELT","nknots_PELT","bic_PELT","knots_BS","nknots_BS","bic_BS","knots_WBS","nknots_WBS","bic_WBS"
NA,0.005,3,6870.25073766422,NA,0.00508130649064194,0,6867.72139020355,NA,0.00508130649484835,0,6867.72139020355,NA,0.00508130648870926,0,6867.72139020356,NA,0.00508130650382961,0,6867.7213902036,NA,0.00508130651531198,0,6867.72139020361,NA,0.00508130649405255,0,6867.72139020355,NA,0.00508130649280199,0,6867.72139020355,NA,0.0050813064918925,0,6867.72139020356,NA,0.00508130648995982,0,6867.72139020353,NA,0.00508130649325674,0,6867.72139020355,NA,0.00508130651633517,0,6867.72139020361,"136,291,406,589,754,864",6,14.7651530927326,"152,334,542,589,754,864",6,20.9089849390844,"152,334,542,589,754,864",6,20.9089849390844
NA,0.005,3,6871.51395482382,NA,0.00485430984870394,0,6869.24634112024,NA,0.00485430984829182,0,6869.24634112025,NA,0.0048543098521856,0,6869.24634112024,NA,0.00485430985077872,0,6869.24634112025,NA,0.00485430984846235,0,6869.24634112025,NA,0.00485430984820656,0,6869.24634112024,NA,0.00485430985133295,0,6869.24634112025,NA,0.00485430984579071,0,6869.24634112024,NA,0.00485430984709811,0,6869.24634112025,NA,0.00485430984915869,0,6869.24634112024,NA,0.00485430984726864,0,6869.24634112024,"237,368,597,780,930",5,24.3175208969124,"246,368,515,607,780,930",6,30.8784871666563,"246,368,515,607,780,930",6,30.8784871666563
NA,0.005,3,6914.24026307162,NA,0.0050599103925083,0,6911.8803835799,NA,0.00505991039546415,0,6911.8803835799,NA,0.00505991039341779,0,6911.8803835799,NA,0.00505991039910213,0,6911.88038357989,NA,0.0050599103915988,0,6911.8803835799,NA,0.00505991039364516,0,6911.88038357989,NA,0.0050599103968284,0,6911.88038357989,NA,0.00505991039182617,0,6911.8803835799,NA,0.00505991039432729,0,6911.8803835799,NA,0.00505991040092112,0,6911.88038357989,NA,0.00505991038750607,0,6911.8803835799,"135,262,389,494,623,818",6,76.909128607102,"135,262,389,494,623,733,896",7,80.7775280230142,"135,262,389,494,623,733,896",7,80.7775280230142
NA,0.005,3,6864.28583252029,NA,0.00482657736535021,0,6860.99242211789,NA,0.00482657737217142,0,6860.99242211789,NA,0.0048265773748999,0,6860.99242211791,NA,0.00482657736898819,0,6860.99242211789,NA,0.00482657737626415,0,6860.99242211791,NA,0.00482657737308091,0,6860.9924221179,NA,0.00482657736853344,0,6860.99242211789,NA,0.00482657737899263,0,6860.99242211791,NA,0.00482657736489546,0,6860.99242211789,NA,0.00482657736989768,0,6860.99242211789,NA,0.00482657737171667,0,6860.99242211789,"99,257,464,570,761,899",6,12.655354098484,"99,257,478,570,761,899",6,16.6402559497456,"99,257,478,570,761,899",6,16.6402559497456
NA,0.005,3,6899.20577201903,NA,0.00488306906402456,0,6897.96822452066,NA,0.0048830690576581,0,6897.96822452067,NA,0.00488306906425194,0,6897.96822452066,NA,0.00488306906470668,0,6897.96822452066,NA,0.00488306906243295,0,6897.96822452066,NA,0.0048830690619782,0,6897.96822452065,NA,0.00488306906470668,0,6897.96822452066,NA,0.00488306906538881,0,6897.96822452066,NA,0.00488306906766254,0,6897.96822452066,NA,0.00488306906220557,0,6897.96822452066,NA,0.00488306906743517,0,6897.96822452067,"167,294,413,601,735,973",6,58.3571031403808,"208,310,421,601,735,973",6,66.9217959790919,"208,310,421,601,735,975",6,67.0533513238385
NA,0.005,3,6901.00805453291,NA,0.00501173828098417,0,6897.07648240335,NA,0.00501173828598639,0,6897.07648240336,NA,0.00501173828916963,0,6897.07648240335,NA,0.0050117382841674,0,6897.07648240335,NA,0.00501173828234842,0,6897.07648240336,NA,0.00501173827689145,0,6897.07648240336,NA,0.00501173828689589,0,6897.07648240336,NA,0.0050117382841674,0,6897.07648240335,NA,0.00501173828007468,0,6897.07648240335,NA,0.00501173828826013,0,6897.07648240335,NA,0.00501173828826013,0,6897.07648240335,"96,259,432,598,801,909",6,46.38362998935,"96,259,432,556,598,801,909",7,56.0949945193673,"96,259,432,556,598,801,909",7,56.0949945193673
NA,0.005,3,6969.39669438592,NA,0.0051116575025287,0,6968.29266545884,NA,0.00511165750218764,0,6968.29266545884,NA,0.00511165750196027,0,6968.29266545884,NA,0.00511165749968653,0,6968.29266545884,NA,0.00511165750144868,0,6968.29266545884,NA,0.00511165750196027,0,6968.29266545884,NA,0.00511165749877703,0,6968.29266545883,NA,0.00511165750338135,0,6968.29266545884,NA,0.00511165749815176,0,6968.29266545883,NA,0.00511165750048234,0,6968.29266545884,NA,0.0051116575012213,0,6968.29266545884,"151,382,550,789,965",5,120.460515846953,"136,201,382,508,580,789,965",7,131.45681968709,"136,201,382,508,580,789,965",7,131.45681968709
NA,0.005,3,6963.78925700953,NA,0.00509389662137077,0,6962.97546496201,NA,0.00509389661847176,0,6962.97546496201,NA,0.00509389662580456,0,6962.97546496199,NA,0.00509389661727804,0,6962.97546496201,NA,0.00509389660625042,0,6962.97546496199,NA,0.00509389660568199,0,6962.975464962,NA,0.00509389661989284,0,6962.975464962,NA,0.00509389660676201,0,6962.97546496202,NA,0.0050938966102863,0,6962.97546496201,NA,0.005093896619836,0,6962.975464962,NA,0.00509389661733489,0,6962.97546496202,"167,313,463,536,665,851",6,117.35831807619,"167,434,536,716,891",5,123.65628369927,"167,434,536,716,891",5,123.65628369927
NA,0.005,3,6909.8864428311,NA,0.00508749700117004,0,6908.65803342321,NA,0.0050874969954857,0,6908.65803342321,NA,0.00508749699844156,0,6908.65803342321,NA,0.00508749699844156,0,6908.65803342321,NA,0.00508749699844156,0,6908.65803342321,NA,0.00508749699684994,0,6908.65803342321,NA,0.00508749699775944,0,6908.65803342321,NA,0.00508749699594045,0,6908.65803342321,NA,0.00508749699525833,0,6908.65803342322,NA,0.00508749699662257,0,6908.65803342321,NA,0.00508749699662257,0,6908.65803342321,"8,160,298,525,640,793",6,73.9811575173364,"8,160,230,314,525,596,761,856",8,89.4139142055107,"8,160,230,314,525,596,761,856",8,89.4139142055107
NA,0.005,3,6970.42120174712,NA,0.00476579957629146,0,6965.7405575475,NA,0.00476579958413585,0,6965.7405575475,NA,0.00476579958294214,0,6965.7405575475,NA,0.00476579958072525,0,6965.74055754749,NA,0.00476579957600725,0,6965.74055754751,NA,0.00476579957936101,0,6965.7405575475,NA,0.00476579958442007,0,6965.74055754749,NA,0.00476579958271477,0,6965.74055754751,NA,0.00476579958146421,0,6965.7405575475,NA,0.00476579957992944,0,6965.74055754751,NA,0.00476579958066841,0,6965.74055754749,"188,302,479,651,766",5,111.373033265556,"136,283,515,651,760,888",6,117.684708786868,"188,283,515,651,760,872",6,118.187802007996
