"true_model","bic_true_model","nknots_PELT","bic_PELT","nknots_BS","bic_BS","nknots_WBS","bic_WBS","nknots_flasso","bic_flasso","nknots_adaflasso","bic_adaflasso","best_iter","nknots_best_iter","min_bic_flasso"
NA,6890.73582459225,6,36.320566909563,6,41.5386651708514,8,44.6588677481431,0,6889.96179168595,0,6889.96179168595,1,0,6889.96179
NA,6938.22685147373,6,94.692663592283,7,97.1674843486014,7,97.1674843486014,0,6936.13637410523,0,6936.13637410522,1,0,6936.13637
NA,6940.9911198346,5,94.285378042223,5,95.3827757636057,5,95.3827757636057,0,6938.76657809192,0,6938.76657809192,1,0,6938.76658
NA,6931.83616682402,5,63.7164469357619,5,72.9549105365809,5,72.9549105365809,0,6927.12904171064,0,6927.12904171065,1,0,6927.12904
NA,6921.7897805895,5,76.2173736705506,7,83.954206787181,7,82.5275696833233,0,6920.20229234397,0,6920.20229234396,1,0,6920.20229
NA,6968.04137748371,6,121.791590644828,7,126.597372958181,7,126.597372958181,0,6965.3836216198,0,6965.3836216198,1,0,6965.38362
NA,6888.09093446655,6,54.2474847640134,6,57.5342225652905,6,59.7069549669457,0,6886.22658098021,0,6886.22658098021,1,0,6886.22658
NA,6967.34823790384,6,108.162195769813,6,110.893677647372,6,110.893677647372,0,6963.06145690951,0,6963.0614569095,1,0,6963.06146
NA,6888.8911956983,6,59.3608880709635,7,66.1696759496351,6,67.0201722587824,0,6886.98266849778,0,6886.98266849778,1,0,6886.98267
NA,6823.80683676727,5,-6.10405620994274,6,-3.45935501632819,6,-3.45935501632819,0,6823.68817534939,0,6823.68817534939,1,0,6823.68818
NA,6858.36193530015,6,24.0376735081962,6,24.3356828679654,6,25.9636640490704,0,6858.14603561686,0,6858.14603561687,1,0,6858.14604
NA,6968.01483488474,6,116.335868435794,6,116.892976764207,6,117.873561150473,0,6960.89399485322,0,6960.89399485322,1,0,6960.89399
NA,6851.67546079503,6,3.78795211319296,6,11.9013602967471,5,14.6878136800441,0,6846.62630743503,0,6846.62630743505,1,0,6846.62631
NA,6927.69009691521,8,92.0806931683224,7,98.3630751266112,8,101.935641429163,0,6925.54376813191,0,6925.54376813189,1,0,6925.54377
NA,6910.01363167858,7,76.6694612660128,7,79.6287812707522,7,79.6579898578866,0,6907.93313166091,0,6907.93313166091,1,0,6907.93313
NA,6855.90877166987,6,23.8684581551466,6,27.5787384039565,7,26.6974969270213,0,6854.8235106939,0,6854.8235106939,1,0,6854.82351
NA,6999.14955031182,6,147.445967361194,6,152.521924450291,6,153.664526231877,0,6987.96318234793,0,6987.96318234792,1,0,6987.96318
NA,6939.90828037531,5,87.5269489724787,6,90.013406902385,6,90.013406902385,0,6939.46494393122,0,6939.46494393123,1,0,6939.46494
NA,6920.59030006714,5,70.1961052221099,6,78.5044058805206,6,78.5044058805206,0,6918.93231675366,0,6918.93231675366,1,0,6918.93232
NA,6854.46813036331,6,12.9144139308241,7,17.6884280240796,7,18.3570987090019,0,6852.94534291617,0,6852.94534291618,1,0,6852.94534
NA,6969.57803255992,6,128.345246082692,6,131.175052108711,6,131.175052108711,0,6967.83252425123,0,6967.83252425122,1,0,6967.83252
NA,6882.36608409211,6,25.3058164195032,7,29.6651912686042,7,29.6651912686042,0,6878.17775735075,0,6878.17775735074,1,0,6878.17776
NA,6899.85890584643,6,50.6463381623973,6,50.6463381623973,6,50.6463381623973,0,6899.74222469267,0,6899.74222469268,1,0,6899.74222
NA,6909.55044937241,7,62.6122906999599,7,76.121168430117,7,76.121168430117,0,6908.35653679776,0,6908.35653679777,1,0,6908.35654
NA,6992.57156162541,6,148.264853533001,7,152.748758752979,7,153.563943567142,0,6988.17628290044,0,6988.17628290044,1,0,6988.17628
NA,6938.44690027207,6,87.9593628638931,6,88.6574473757896,6,88.6574473757896,0,6935.98183852341,0,6935.98183852342,1,0,6935.98184
NA,6911.26557396602,5,41.1313931128352,6,42.0511091005752,6,42.0511091005752,0,6904.39092445915,0,6904.39092445916,1,0,6904.39092
NA,6949.4041224977,7,99.2735198102098,7,99.2735198102098,7,99.2735198102098,0,6945.62613252942,0,6945.62613252945,1,0,6945.62613
NA,6877.75210673373,5,30.9576141215618,6,40.2346149508659,6,42.160295721188,0,6874.82170452098,0,6874.82170452096,1,0,6874.8217
NA,6941.77600747858,6,107.786819407885,6,112.336009233589,6,107.786819407885,0,6940.25423481418,0,6940.2542348142,1,0,6940.25423
NA,6849.99641649345,6,8.66405166979762,6,9.81558891014998,6,9.81558891014998,0,6849.81992878984,0,6849.81992878983,1,0,6849.81993
NA,6884.79890569658,6,30.2778658902273,6,37.0491271923224,6,37.1269592105836,0,6882.75947368796,0,6882.75947368793,1,0,6882.75947
NA,6960.83456178828,6,112.461242420568,7,121.085974010549,7,121.085974010549,0,6956.90081415531,0,6956.90081415531,1,0,6956.90081
NA,6949.89290739493,6,101.27083338725,6,101.404437670303,6,101.404437670303,0,6946.13113054865,0,6946.13113054865,1,0,6946.13113
NA,6976.68101706633,6,132.095084123043,6,132.095084123043,6,132.095084123043,0,6976.63326021568,0,6976.63326021569,1,0,6976.63326
NA,7010.74040854625,6,169.848496082243,7,177.600781471118,7,177.600781471118,0,7010.45055814915,0,7010.45055814917,1,0,7010.45056
NA,6806.26497034202,6,-22.5601098015087,7,-23.7291583989347,7,-23.6335574182706,0,6805.28428155536,0,6805.28428155536,1,0,6805.28428
NA,6916.13108985506,6,77.5844971707896,7,81.7437843185133,7,81.7437843185133,0,6915.50986077753,0,6915.50986077752,1,0,6915.50986
NA,6959.59400254192,6,101.217059970552,6,101.720574120729,6,101.721009208062,0,6957.54574386886,0,6957.54574386887,1,0,6957.54574
