"true_model","bic_true_model","cpop","bic_cpop","flasso","bic_flasso","adaflasso","bic_adaflasso","best_iter","changepoints","min_bic_flasso","distance_cpop","distance_flasso","distance_adaflasso","distance_best_iter_flasso"
"361",-89.7297843682533,"366",-91.8844094696158,"363,466",-85.5271983602591,"363",-91.6746251016439,2,"363",-91.67602,0.005,1.002,0.002,0.002
"135,323,423,532,756,876",122.109282206544,"138,329,438,523,765,884",106.71176398382,"79,137,306,436,544,588,755,885",129.589878987788,"137,306,436,544,755,885",111.084045212648,2,"137,306,436,544,755,885",107.88192,0.05,2.054,0.054,0.054
"126,235,348,472,586,735,837",10.4718424680437,"134,236,355,507,538,733,838",-11.3722681043548,"125,133,235,259,355,460,488,559,730,837,874",26.4078876929773,"125,235,355,460,488,559,730,837,874",5.01939828943755,9,"125,235,355,488,559,730,837",-7.75992,0.102,4.052,2.052,0.056
"109,254,361,484,607,711,831",76.9952901270653,"101,250,443,445,639,705,807",50.9283692754864,"71,111,265,341,380,468,485,619,707,807,827",86.1015582791896,"71,111,265,341,380,468,619,707,807,827",71.435582692276,3,"71,111,265,341,380,468,619,707,807",64.54685,0.195,4.053,3.068,2.088
"159,318,442,655,847",49.98336093177,"158,314,438,654,852",43.3789071272143,"149,306,459,647,653,851",67.7520919105901,"149,306,459,653,851",44.6190757594296,2,"149,306,459,653,851",44.61854,0.015,1.045,0.045,0.045
"184,291,459,629,792",195.759113077722,"187,293,441,647,798",183.633446197504,"169,299,439,461,635,644,804",214.15135819804,"169,299,461,635,804",186.504531981699,2,"169,299,461,635,804",186.49158,0.047,2.043,0.043,0.043
"125",-23.5530485510854,"128",-27.914946091612,"136,300,678",-12.8698015130954,"136",-26.9911247692623,2,"136",-26.99573,0.003,2.011,0.011,0.011
"216,859",24.2295204694736,"219,861",22.1936023044143,"220,222,591,855",36.0890405182292,"222,855",22.9174508608164,2,"222,855",22.87708,0.005,2.008,0.01,0.01
"147,268,465,621,760,879",68.2590923888714,"159,267,484,627,739,885",57.9628727270664,"147,272,478,621,738,756,884",77.0278995230133,"147,272,478,621,756,884",59.4524750360105,2,"147,272,478,621,756,884",59.32305,0.065,1.026,0.026,0.026
"134,235,342,469,580,715,841",100.827031318622,"138,783,828",107.168414857699,"145,228,256,348,358,475,572,638,723,838,885",116.539987051406,"145,256,348,475,572,723,838",88.2593933877827,2,"145,256,348,475,572,723,838",87.23219,4.075,4.049,0.063,0.063
"337",55.0346480583579,"346",48.1374377416887,"350,439",58.739040616152,"350",48.7413539838229,2,"350",48.63192,0.009,1.013,0.013,0.013
"197,805",62.2163447971778,"198,803",60.0241216977848,"196,251,667,766,778,833",83.6738366825137,"196,766,833",62.390483653426,5,"196,766,833",62.28082,0.003,4.028,1.029,1.029
"150,530",58.1331886793941,"142,532",56.0290742294245,"141,197,523,537",71.2058176790416,"141,537",56.8128643880056,2,"141,537",56.67423,0.01,2.016,0.016,0.016
"196,674",3.73439942107954,"210,668",-0.980388188761303,"217,655,674",9.73921390705074,"217,674",0.593135215331685,9,"217,674",0.44198,0.02,1.021,0.021,0.021
"123,485,590,780,897",87.3087004048402,"119,488,581,792,939,941",71.9869596080226,"117,184,349,485,586,788,806,902,914",108.294512110968,"117,485,586,788,902",83.8790348405314,2,"117,485,586,788,902",81.70306,1.07,4.023,0.023,0.023
"110,265,476,628,878",13.8996179034457,"97,271,499,627,878",1.63596874660677,"96,113,270,278,483,499,628,657,728,879",33.8641302369086,"96,270,483,628,879",6.08983246101904,2,"96,270,483,628,879",2.57895,0.043,5.016,0.027,0.027
"133,283,394,533,648,763,875",33.2629693317671,"145,259,423,601,602,772,867",1.33068376537351,"127,144,259,425,542,648,762,765,870",44.7263137268151,"127,259,425,542,648,765,870",10.9797779861946,2,"127,259,425,542,648,765,870",10.6712,0.196,2.076,0.077,0.077
"140,330,531,853",-10.2476562246089,"146,353,520,869",-24.6338878381101,"145,350,510,539,857",-7.2493979562929,"145,350,539,857",-21.155913935993,2,"145,350,539,857",-21.50053,0.056,1.037,0.037,0.037
"132,240",95.8508470768838,"129,255",93.3114282205624,"123,261,327",110.381095734,"123,261,789",100.417783034398,3,"123,261",93.92658,0.018,1.03,1.03,0.03
"184,296,419,547,650,752,854",62.8366558423031,"173,296,445,567,568,917",54.6679167210128,"165,295,436,544,653,768,882",79.9987012145167,"165,295,436,544,653,768,882",53.8592709332388,3,"165,295,436,544,653,768,882",53.84729,1.367,0.087,0.087,0.087
"151,290,391,534,655,769,885",63.742715913906,"171,280,407,522,681,762,859",49.3961281586328,"59,171,280,369,416,522,621,680,761,858,907",73.5615822327118,"59,171,280,416,522,621,680,761,858,907",67.8373422227298,6,"171,280,416,522,680,761,858",49.9328,0.117,4.119,3.122,0.127
"124,228,335,479,620,746,874",65.9137238931287,"122,224,338,466,630,743,851",50.4164806041915,"75,121,224,337,465,482,628,725,733,759,848,910,925",92.4679234798597,"121,224,337,465,628,733,759,848",59.2842480443136,6,"121,224,337,465,628,759,848",50.7328,0.058,6.059,1.07,0.07
