"true_model","true_slope","true_nknots","true_means","bic_true_model","flasso","slope_flasso","slope_OLS_flasso","nknots_flasso","bic_flasso","adaflasso","slope_adaflasso","slope_OLS_adaflasso","nknots_adaflasso","bic_adaflasso","iter2flasso","slope_iter2flasso","slope_OLS_iter2flasso","nknots_iter2flasso","bic_iter2flasso","iter3flasso","slope_iter3flasso","slope_OLS_iter3flasso","nknots_iter3flasso","bic_iter3flasso","iter4flasso","slope_iter4flasso","slope_OLS_iter4flasso","nknots_iter4flasso","bic_iter4flasso","iter5flasso","slope_iter5flasso","slope_OLS_iter5flasso","nknots_iter5flasso","bic_iter5flasso","iter6flasso","slope_iter6flasso","slope_OLS_iter6flasso","nknots_iter6flasso","bic_iter6flasso","iter7flasso","slope_iter7flasso","slope_OLS_iter7flasso","nknots_iter7flasso","bic_iter7flasso","iter8flasso","slope_iter8flasso","slope_OLS_iter8flasso","nknots_iter8flasso","bic_iter8flasso","iter9flasso","slope_iter9flasso","slope_OLS_iter9flasso","nknots_iter9flasso","bic_iter9flasso","iter10flasso","slope_iter10flasso","slope_OLS_iter10flasso","nknots_iter10flasso","bic_iter10flasso"
"133,265,366,502,635,770,888",-0.01,7,"0,2.4389,0.8905,-0.7284,0.9354,-1.2164,0.698,-1.4405",7003.97845406414,"133,136,265,268,273,322,366,483,486,501,503,635,636,767,769,869,888,889",-0.0101788999589432,-0.0091091766808831,18,7166.15035702114,"133,265,366,501,635,769,889",-0.00989503343352041,-0.00961861710129373,7,6991.22309768859,"133,265,366,501,635,769,889",-0.00961861710063859,-0.00961861710129373,7,6989.53421882573,"133,265,366,501,635,769,889",-0.00961861710382182,-0.00961861710129373,7,6989.53421882571,"133,265,366,501,635,769,889",-0.00961861710120702,-0.00961861710129373,7,6989.53421882573,"133,265,366,501,635,769,889",-0.00961861710149124,-0.00961861710129373,7,6989.53421882572,"133,265,366,501,635,769,889",-0.0096186171005249,-0.00961861710129373,7,6989.53421882573,"133,265,366,501,635,769,889",-0.00961861710257127,-0.00961861710129373,7,6989.53421882572,"133,265,366,501,635,769,889",-0.00961861710126387,-0.00961861710129373,7,6989.53421882573,"133,265,366,501,635,769,889",-0.00961861709955857,-0.00961861710129373,7,6989.53421882573,"133,265,366,501,635,769,889",-0.00961861710058175,-0.00961861710129373,7,6989.53421882573
"132,249,387,519,625,748,868",-0.01,7,"0,2.209,0.3114,2.6769,1.0901,2.6986,0.392,2.6476",7010.4607753185,"131,132,235,249,260,378,386,387,390,519,520,620,625,748,751,867,868,872,874,875",-0.00808982020142528,-0.00985739039973451,20,7223.66059746765,"132,249,386,519,620,748,868,875",-0.00813067420436107,-0.00974862734949617,8,7020.88426339927,"132,249,386,519,620,748,868",-0.00885479639721089,-0.00942573723421781,7,7005.43649386902,"132,249,386,519,620,748,868",-0.00942573723742254,-0.00942573723421781,7,7004.40744769627,"132,249,386,519,620,748,868",-0.00942573723332981,-0.00942573723421781,7,7004.40744769629,"132,249,386,519,620,748,868",-0.00942573723526249,-0.00942573723421781,7,7004.40744769628,"132,249,386,519,620,748,868",-0.00942573723912784,-0.00942573723421781,7,7004.40744769627,"132,249,386,519,620,748,868",-0.00942573723310244,-0.00942573723421781,7,7004.40744769629,"132,249,386,519,620,748,868",-0.00942573723264769,-0.00942573723421781,7,7004.40744769629,"132,249,386,519,620,748,868",-0.00942573723594461,-0.00942573723421781,7,7004.40744769628,"132,249,386,519,620,748,868",-0.00942573723355719,-0.00942573723421781,7,7004.40744769629
"118,255,368,550,667,821",-0.01,6,"0,-2.2742,-4.1079,-5.8898,-8.0633,-10.246,-12.2029",6943.11220946329,"113,118,120,157,158,255,261,267,368,550,552,554,665,666,667,674,821,898,920,926",-0.0135476516769529,-0.00832816022011051,20,7143.77539983284,"120,255,368,550,667,821",-0.0115432472776574,-0.00880845696322424,6,6952.61264572636,"120,255,368,550,667,821",-0.00880845696194877,-0.00880845696322424,6,6936.8625457483,"120,255,368,550,667,821",-0.00880845696240352,-0.00880845696322424,6,6936.86254574827,"120,255,368,550,667,821",-0.00880845696263089,-0.00880845696322424,6,6936.86254574828,"120,255,368,550,667,821",-0.00880845696194877,-0.00880845696322424,6,6936.86254574828,"120,255,368,550,667,821",-0.00880845696217614,-0.00880845696322424,6,6936.86254574829,"120,255,368,550,667,821",-0.00880845696331301,-0.00880845696322424,6,6936.86254574829,"120,255,368,550,667,821",-0.00880845696422251,-0.00880845696322424,6,6936.86254574829,"120,255,368,550,667,821",-0.0088084569608119,-0.00880845696322424,6,6936.8625457483,"120,255,368,550,667,821",-0.00880845696149402,-0.00880845696322424,6,6936.8625457483
"115,246,383,531,694,828",-0.01,6,"0,-2.1558,0.0395,2.5245,0.3185,2.1079,0.2066",7048.32561857237,"113,115,246,248,252,264,370,375,383,384,386,389,530,531,532,678,692,694,695,816,817,826,827,828,833,858",-0.0101689281340805,-0.00996612644454543,26,7345.78351108651,"115,246,383,530,695,827,858",-0.0100620293439428,-0.00942287647701254,7,7057.00169305177,"115,246,383,530,695,827",-0.0103964091892991,-0.0101905494198711,6,7044.93676871011,"115,246,383,530,695,827",-0.010190549420554,-0.0101905494198711,6,7044.08357710325,"115,246,383,530,695,827",-0.0101905494170297,-0.0101905494198711,6,7044.08357710324,"115,246,383,530,695,827",-0.0101905494191898,-0.0101905494198711,6,7044.08357710325,"115,246,383,530,695,827",-0.010190549420554,-0.0101905494198711,6,7044.08357710325,"115,246,383,530,695,827",-0.0101905494204403,-0.0101905494198711,6,7044.08357710326,"115,246,383,530,695,827",-0.0101905494199856,-0.0101905494198711,6,7044.08357710325,"115,246,383,530,695,827",-0.0101905494178255,-0.0101905494198711,6,7044.08357710325,"115,246,383,530,695,827",-0.0101905494211225,-0.0101905494198711,6,7044.08357710326
"208,377,481,590,825",-0.01,5,"0,1.707,3.7076,6.1619,4.5146,6.2209",7008.43069283757,"206,208,375,376,379,449,465,470,480,481,586,589,593,659,825",-0.00841414820441834,-0.0113536311804658,15,7152.16664259503,"208,376,379,470,481,593,825",-0.010671524845062,-0.0111781173796845,7,7013.21748856419,"208,376,379,481,593,825",-0.0107574089972552,-0.0110343165418879,6,7004.48386019232,"208,376,379,481,593,825",-0.0110343165411667,-0.0110343165418879,6,7003.57611093852,"208,376,481,593,825",-0.0106326101954803,-0.0109788910674699,5,6998.44171736231,"208,376,481,593,825",-0.0109788910687207,-0.0109788910674699,5,6992.8402720814,"208,376,481,593,825",-0.0109788910655374,-0.0109788910674699,5,6992.8402720814,"208,376,481,593,825",-0.0109788910653101,-0.0109788910674699,5,6992.8402720814,"208,376,481,593,825",-0.0109788910666743,-0.0109788910674699,5,6992.8402720814,"208,376,481,593,825",-0.0109788910679249,-0.0109788910674699,5,6992.8402720814,"208,376,481,593,825",-0.010978891066788,-0.0109788910674699,5,6992.8402720814
"127,291,466,574,797",-0.01,5,"0,-1.8996,-3.8209,-5.5486,-3.221,-4.9601",7027.02987355368,"127,131,291,465,555,567,570,572,574,590,625,797,799",-0.0144361829145049,-0.00977496915814199,13,7186.00606419509,"127,291,465,574,625,799",-0.0107388125416085,-0.00975113392462046,6,7018.4756917814,"127,291,465,574,625,799",-0.0097511339252154,-0.00975113392462046,6,7014.70896922334,"127,291,465,574,799",-0.00931698181695099,-0.00886843752142197,5,7011.01343553719,"127,291,465,574,799",-0.00886843752198101,-0.00886843752142197,5,7010.16192457885,"127,291,465,574,799",-0.00886843752084415,-0.00886843752142197,5,7010.16192457885,"127,291,465,574,799",-0.00886843752107152,-0.00886843752142197,5,7010.16192457886,"127,291,465,574,799",-0.00886843752118521,-0.00886843752142197,5,7010.16192457885,"127,291,465,574,799",-0.00886843752323157,-0.00886843752142197,5,7010.16192457885,"127,291,465,574,799",-0.00886843751993465,-0.00886843752142197,5,7010.16192457884,"127,291,465,574,799",-0.00886843752084415,-0.00886843752142197,5,7010.16192457885
"176,325,568,748",-0.01,4,"0,-2.4169,-4.4,-6.048,-3.8616",6965.00158409884,"175,176,320,324,567,568,729,744,748,757,758,840,847,849",-0.0111709754107486,-0.00943692765151972,14,7099.1949608884,"176,324,568,748",-0.0090606966170754,-0.00892076086470855,4,6949.57619634493,"176,324,568,748",-0.00892076086348407,-0.00892076086470855,4,6949.36340760496,"176,324,568,748",-0.00892076086376829,-0.00892076086470855,4,6949.36340760495,"176,324,568,748",-0.00892076086450725,-0.00892076086470855,4,6949.36340760495,"176,324,568,748",-0.00892076086490515,-0.00892076086470855,4,6949.36340760496,"176,324,568,748",-0.0089207608640525,-0.00892076086470855,4,6949.36340760496,"176,324,568,748",-0.00892076086422303,-0.00892076086470855,4,6949.36340760496,"176,324,568,748",-0.00892076086507568,-0.00892076086470855,4,6949.36340760496,"176,324,568,748",-0.008920760864962,-0.00892076086470855,4,6949.36340760497,"176,324,568,748",-0.00892076086427988,-0.00892076086470855,4,6949.36340760496
"210,332,576,845",-0.01,4,"0,-1.7674,0.3118,2.5616,4.7223",7025.1623898748,"210,215,217,218,314,326,332,575,578,842,844,845",-0.00781548881999971,-0.00971408856098334,12,7137.01650060195,"210,332,575,845",-0.0092059669265814,-0.00952913730495324,4,7015.85836311287,"210,332,575,845",-0.00952913730733816,-0.00952913730495324,4,7015.13142228861,"210,332,575,845",-0.00952913730193093,-0.00952913730495324,4,7015.13142228861,"210,332,575,845",-0.00952913730908964,-0.00952913730495324,4,7015.1314222886,"210,332,575,845",-0.00952913730732039,-0.00952913730495324,4,7015.13142228861,"210,332,575,845",-0.00952913730044234,-0.00952913730495324,4,7015.13142228861,"210,332,575,845",-0.00952913730257041,-0.00952913730495324,4,7015.13142228861,"210,332,575,845",-0.00952913730131275,-0.00952913730495324,4,7015.13142228861,"210,332,575,845",-0.0095291373047802,-0.00952913730495324,4,7015.13142228861,"210,332,575,845",-0.00952913730826541,-0.00952913730495324,4,7015.1314222886
"349,784",-0.01,2,"0,-2.2688,0.0993",6893.86826901943,"341,348,349,350,358,784,788",-0.0101742949864486,-0.00997209892380387,7,6968.76931172802,"349,784",-0.0102524806802331,-0.0100928233085771,2,6892.0429330873,"349,784",-0.0100928233069504,-0.0100928233085771,2,6891.29225351539,"349,784",-0.0100928233086557,-0.0100928233085771,2,6891.29225351539,"349,784",-0.0100928233080305,-0.0100928233085771,2,6891.29225351539,"349,784",-0.0100928233098779,-0.0100928233085771,2,6891.29225351538,"349,784",-0.0100928233094231,-0.0100928233085771,2,6891.29225351538,"349,784",-0.0100928233090821,-0.0100928233085771,2,6891.29225351538,"349,784",-0.0100928233088263,-0.0100928233085771,2,6891.29225351538,"349,784",-0.0100928233066094,-0.0100928233085771,2,6891.29225351538,"349,784",-0.0100928233077747,-0.0100928233085771,2,6891.29225351539
"123,268,375,531,640,772,872",-0.01,7,"0,2.4209,0.4497,-1.8195,-4.1383,-6.2537,-4.2071,-2.1446",7013.65008053604,"121,122,123,124,268,269,347,364,374,375,531,640,641,772,784,793,861,864,865,866,867,868,872,906",-0.0114643077920477,-0.00923393303502654,24,7259.23559542493,"121,269,374,531,641,772,872",-0.00958547684585899,-0.00905830165148601,7,7004.91974886634,"121,269,374,531,641,772,872",-0.0090583016512761,-0.00905830165148601,7,7001.2793664186,"121,269,374,531,641,772,872",-0.00905830165298141,-0.00905830165148601,7,7001.27936641859,"121,269,374,531,641,772,872",-0.009058301653493,-0.00905830165148601,7,7001.2793664186,"121,269,374,531,641,772,872",-0.00905830165366353,-0.00905830165148601,7,7001.27936641859,"121,269,374,531,641,772,872",-0.00905830165167401,-0.00905830165148601,7,7001.2793664186,"121,269,374,531,641,772,872",-0.0090583016508782,-0.00905830165148601,7,7001.2793664186,"121,269,374,531,641,772,872",-0.00905830165241297,-0.00905830165148601,7,7001.2793664186,"121,269,374,531,641,772,872",-0.0090583016512761,-0.00905830165148601,7,7001.27936641859,"121,269,374,531,641,772,872",-0.00905830165252666,-0.00905830165148601,7,7001.27936641859
"114,249,382,513,633,741,868",-0.01,7,"0,1.7198,4.2135,1.8753,-0.3971,-2.6707,-4.7058,-2.9853",7024.50891464334,"113,114,137,143,211,217,231,249,250,258,381,382,513,518,564,566,594,595,600,607,632,633,736,740,741,758,863,868,892,906,929",-0.0112252728824658,-0.00974394021840181,31,7341.994162855,"114,249,382,513,633,740,868",-0.00943799572048643,-0.00940205941128798,7,7018.3612942641,"114,249,382,513,633,740,868",-0.00940205941120463,-0.00940205941128798,7,7016.70267709176,"114,249,382,513,633,740,868",-0.009402059411432,-0.00940205941128798,7,7016.70267709177,"114,249,382,513,633,740,868",-0.00940205941009618,-0.00940205941128798,7,7016.70267709176,"114,249,382,513,633,740,868",-0.00940205941086357,-0.00940205941128798,7,7016.70267709177,"114,249,382,513,633,740,868",-0.00940205941092041,-0.00940205941128798,7,7016.70267709177,"114,249,382,513,633,740,868",-0.00940205941069304,-0.00940205941128798,7,7016.70267709177,"114,249,382,513,633,740,868",-0.00940205941080672,-0.00940205941128798,7,7016.70267709177,"114,249,382,513,633,740,868",-0.00940205941089199,-0.00940205941128798,7,7016.70267709176,"114,249,382,513,633,740,868",-0.00940205941126147,-0.00940205941128798,7,7016.70267709177
"206,517,774",-0.01,3,"0,1.5776,-0.2299,-1.9612",6895.53784275876,"201,209,212,272,513,517,774,775",-0.0120772942195646,-0.0103691518834875,8,6996.85334393166,"209,513,517,774",-0.0104988292699941,-0.0100410980772762,4,6900.36813793308,"209,513,774",-0.0101959160332851,-0.0101105364921925,3,6886.41807172996,"209,513,774",-0.0101105364926077,-0.0101105364921925,3,6886.34413635454,"209,513,774",-0.0101105364932898,-0.0101105364921925,3,6886.34413635454,"209,513,774",-0.0101105364914709,-0.0101105364921925,3,6886.34413635454,"209,513,774",-0.0101105364919256,-0.0101105364921925,3,6886.34413635455,"209,513,774",-0.0101105364911298,-0.0101105364921925,3,6886.34413635455,"209,513,774",-0.0101105364909024,-0.0101105364921925,3,6886.34413635455,"209,513,774",-0.0101105364927214,-0.0101105364921925,3,6886.34413635454,"209,513,774",-0.0101105364914709,-0.0101105364921925,3,6886.34413635455
"274,542,721",-0.01,3,"0,-1.5628,0.596,2.428",6947.28079495375,"205,258,274,275,527,528,542,551,554,666,671,714,716,718,720",-0.00871439930375846,-0.00960898152113487,15,7104.08668393965,"274,542,720",-0.00951233513945377,-0.00965759928396943,3,6944.51260234829,"274,542,720",-0.00965759928250332,-0.00965759928396943,3,6938.38716823245,"274,542,720",-0.00965759928294386,-0.00965759928396943,3,6938.38716823245,"274,542,720",-0.00965759928528865,-0.00965759928396943,3,6938.38716823245,"274,542,720",-0.00965759928847188,-0.00965759928396943,3,6938.38716823246,"274,542,720",-0.00965759928022959,-0.00965759928396943,3,6938.38716823246,"274,542,720",-0.00965759928337018,-0.00965759928396943,3,6938.38716823246,"274,542,720",-0.00965759928531707,-0.00965759928396943,3,6938.38716823246,"274,542,720",-0.00965759928298649,-0.00965759928396943,3,6938.38716823245,"274,542,720",-0.00965759928138066,-0.00965759928396943,3,6938.38716823246
"131,252,397,534,642,751,884",-0.01,7,"0,2.1157,0.3133,-1.2,-3.1282,-5.1198,-3.4557,-5.7791",6999.40654963952,"54,96,121,131,177,252,255,382,387,391,397,525,534,540,547,582,642,748,750,752,754,774,793,885",-0.0136570440229635,-0.00874770706479013,24,7247.8939280176,"131,252,255,397,534,642,752,754,885",-0.0103574027198814,-0.00901626269474685,9,7016.36073222729,"131,252,397,534,642,752,885",-0.00986509946226462,-0.00911169023875976,7,6989.49823494103,"131,252,397,534,642,752,885",-0.00911169023848977,-0.00911169023875976,7,6987.25533616559,"131,252,397,534,642,752,885",-0.00911169023992506,-0.00911169023875976,7,6987.25533616559,"131,252,397,534,642,752,885",-0.00911169023920031,-0.00911169023875976,7,6987.25533616559,"131,252,397,534,642,752,885",-0.00911169023972611,-0.00911169023875976,7,6987.25533616559,"131,252,397,534,642,752,885",-0.00911169023841871,-0.00911169023875976,7,6987.25533616559,"131,252,397,534,642,752,885",-0.00911169024057876,-0.00911169023875976,7,6987.25533616559,"131,252,397,534,642,752,885",-0.00911169023902978,-0.00911169023875976,7,6987.2553361656,"131,252,397,534,642,752,885",-0.00911169023887346,-0.00911169023875976,7,6987.25533616559
