"true_model","bic_true_model","cpop","bic_cpop","flasso","bic_flasso","adaflasso","bic_adaflasso","best_iter","changepoints","min_bic_flasso","distance_cpop","distance_flasso","distance_adaflasso","distance_best_iter_flasso"
"252,502,752",208.292166766834,"255,527,725",197.907441863266,"242,509,749",246.870019945981,"242,509,749",204.671979790891,1,"242,509,749",204.67198,0.055,0.02,0.02,0.02
"252,502,752",75.9853080688035,"253,499,748",-9.57513772918614,"243,498,762",75.9853080688035,"243,498,762",75.9853080688035,1,"243,498,762",75.98531,0.008,0.023,0.023,0.023
"252,502,752",75.9853080688035,"255,495,750",70.7599913128432,"251,494,752",76.7260078397752,"251,494,752",75.9853080688035,1,"251,494,752",75.98531,0.012,0.009,0.009,0.009
"252,502,752",75.9853080688035,"246,508,781",24.4086929161136,"236,508,782",75.9853080688035,"236,508,782",75.9853080688035,1,"236,508,782",75.98531,0.041,0.052,0.052,0.052
"252,502,752",90.6809956815027,"254,504,745",82.7022809118374,"244,503,743,764",119.804969550339,"244,503,764",84.397262644094,2,"244,503,764",84.39022,0.011,1.018,0.021,0.021
"252,502,752",77.2675132212978,"255,489,752",73.8471335564074,"247,485,505,752",104.416022165961,"247,485,752",75.9853080688035,1,"247,485,752",75.98531,0.016,1.008,0.022,0.022
"252,502,752",100.944302501476,"250,517,763",88.2019720688326,"212,242,514,770",140.865220859876,"242,514,770",89.37753141744,1,"242,514,770",89.37753,0.028,1.04,0.04,0.04
"252,502,752",75.9853080688035,"252,531,749",32.6376260398028,"224,249,506,523,763,792",138.155105579643,"249,523,763",75.9853080688035,1,"249,523,763",75.98531,0.032,3.018,0.035,0.035
"252,502,752",81.3014070789343,"255,492,748",68.0478577098328,"244,493,758",120.200389433239,"244,493,758",75.9853080688035,1,"244,493,758",75.98531,0.017,0.023,0.023,0.023
"252,502,752",117.45383381793,"261,510,747",111.973113447676,"255,508,751",129.758670915183,"255,508,751",113.118818514275,1,"255,508,751",113.11882,0.022,0.01,0.01,0.01
"252,502,752",151.504735622915,"258,505,760",135.749243171844,"238,255,496,526,761",180.979277495523,"255,496,761",136.822289237716,2,"255,496,761",136.65918,0.017,2.018,0.018,0.018
"252,502,752",79.1449420592704,"257,493,754",75.64616916965,"163,256,494,758",105.873994273869,"256,494,758",76.1656162513962,2,"256,494,758",75.98531,0.016,1.018,0.018,0.018
"252,502,752",75.9853080688035,"253,514,756",63.6530977362493,"232,252,502,515,766",132.879192918617,"232,502,766",82.7432305247497,2,"232,502,766",75.98531,0.017,2.014,0.034,0.034
"252,502,752",75.9853080688035,"246,491,764",-13.1709255672617,"238,491,508,770",96.7085739057499,"238,491,770",75.9853080688035,1,"238,491,770",75.98531,0.029,1.038,0.043,0.043
"252,502,752",94.2941977823354,"254,509,761",84.8693521868902,"245,508,510,765",120.36062742995,"245,508,765",85.8500237720214,1,"245,508,765",85.85002,0.018,1.026,0.026,0.026
"252,502,752",75.9853080688035,"251,483,755",-4.18271783141999,"235,488,761",75.9853080688035,"235,488,761",75.9853080688035,1,"235,488,761",75.98531,0.023,0.04,0.04,0.04
