"true_model","bic_true_model","PELT","bic_PELT","knots_BS","bic_BS","knots_WBS","bic_WBS","flasso","bic_flasso","adaflasso","bic_adaflasso","best_iter","changepoints","min_bic_flasso","distance_pelt","distance_wbs","distance_bs","distance_flasso","distance_adaflasso","distance_best_iter_flasso"
"251,501,751",7050.47202779671,"150,251,336,501,612,751,927",186.604126875053,"150,251,336,501,612,751,927",186.604126875053,"150,251,336,501,612,751,927",186.604126875053,"250,251,396,438,487,493,501,509,511,751",7170.69926089309,"251,501,751",7048.81843683229,2,"251,501,751",7048.74429,4,4,4,7,0,0
"251,501,751",6919.92146044273,"119,252,458,499,572,750,889",41.5395242379655,"119,252,458,500,572,750,889",41.6635571855242,"119,252,458,500,572,750,889",41.6635571855242,"252,254,482,499,500,501,504,509,513,521,522,745,750",7073.40952147867,"252,499,750",6909.05725281863,2,"252,499,750",6908.65671,4.004,4.003,4.003,10.002,0.004,0.004
"251,501,751",6965.46533244376,"126,250,363,499,572,747,901",105.696332834599,"126,250,363,499,572,747,901",105.696332834599,"126,250,363,499,572,747,901",105.696332834599,"248,250,251,490,497,499,500,501,747,751,752",7125.49372775667,"250,497,747",6962.73651919278,2,"250,497,747",6956.54606,4.007,4.007,4.007,8,0.009,0.009
"251,501,751",7040.81374340547,"110,251,387,498,696,753,899",160.334486743508,"110,251,387,498,696,753,899",160.334486743508,"110,251,387,498,696,753,899",160.334486743508,"248,249,251,461,498,504,513,753,761",7138.64455025779,"251,498,753",7019.4339094127,2,"251,498,753",7019.18674,4.005,4.005,4.005,6.005,0.005,0.005
"251,501,751",6884.55054795305,"133,251,304,446,502,646,749,867",5.23030222726619,"133,251,304,446,502,646,749,867",5.23030222726619,"133,251,304,446,503,646,749,867",5.71523127561686,"250,251,257,399,418,467,502,503,516,519,527,536,749,751",7023.10157083143,"251,502,749",6869.29522168176,2,"251,502,749",6868.50428,5.003,5.004,5.003,11.001,0.003,0.003
"251,501,751",6983.22785301492,"171,250,396,501,617,751,821",118.146732998305,"159,241,271,396,501,617,751,821",120.982089409102,"171,241,271,396,501,617,751,821",121.010094484837,"239,241,249,250,254,500,501,502,504,518,522,751",7115.35585165432,"250,501,751",6972.37109221471,2,"250,501,751",6971.51028,4.001,5.01,5.01,9.001,0.001,0.001
"251,501,751",6975.33359171247,"143,251,391,501,628,753,833",100.102153870663,"143,251,391,501,628,751,833",101.040894457436,"143,251,391,501,628,751,833",101.040894457436,"251,482,500,501,507,508,524,531,751,753,755,758,761",7111.90737364783,"251,500,751",6984.27249869769,2,"251,500,751",6974.56702,4.002,4,4,10,0.001,0.001
"251,501,751",6943.28388481663,"113,250,424,501,563,751,889",66.7144395072961,"113,250,424,501,563,751,889",66.7144395072961,"113,250,424,501,563,751,889",66.7144395072961,"250,500,501,508,751,754",7044.87820343233,"250,501,751",6938.66208417841,2,"250,501,751",6938.62915,4.001,4.001,4.001,3.001,0.001,0.001
"251,501,751",6915.48140264635,"132,251,397,501,607,751,951",43.2334179938924,"132,251,397,501,607,751,951",43.2334179938924,"132,251,397,501,607,751,951",43.2334179938924,"251,501,503,511,751,758,760",7007.60270315904,"251,501,751",6913.69261262639,2,"251,501,751",6913.53104,4,4,4,4,0,0
"251,501,751",6916.68905501317,"171,251,339,502,672,751,924",44.1731136727997,"171,251,339,502,669,747,924",53.2578215772355,"171,251,458,502,672,747,924",55.9159577842228,"251,483,502,513,582,747,751",6981.46702269366,"251,502,751",6910.60722688063,2,"251,502,751",6909.61486,4.001,4.005,4.005,4.001,0.001,0.001
