"true_model","true_slope","true_nknots","bic_true_model","adaflasso","slope_OLS_adaflasso","nknots_adaflasso","bic_adaflasso","best_iter","changepoints","nknots_best_iter","slope_best_iter","min_bic_best_iter","distance_adaflasso","slope_adaflasso","distance_best_iter_flasso"
"178,467,716",0.005,3,6919.35629492828,"178,467,719",0.00513145092684052,3,6908.79785897514,2,"178,467,719",3,0.00513145092684052,6908.34203,0.003,0.00513145092684052,0.003
"128,300,554,768",0.005,4,7057.21926702471,"128,300,554,768",0.00575320810434178,4,7053.77832585211,2,"128,300,554,768",4,0.00575320810434178,7051.6151,0,0.00575320810434178,0
"144,399,705",0.005,3,6948.57756127838,"147,399,705",0.00454553782404359,3,6930.5961299468,2,"147,399,705",3,0.00454553782404359,6930.243,0.003,0.00454553782404359,0.003
"865",0.005,1,6914.9796341119,"865",0.0049594711114484,1,6913.07545276949,2,"865",1,0.0049594711114484,6913.06892,0,0.0049594711114484,0
"478",0.005,1,6923.23061365116,"478",0.0049613255143681,1,6921.04851549347,2,"478",1,0.0049613255143681,6921.0473,0,0.0049613255143681,0
"368,733",0.005,2,6932.64133342112,"367,733",0.00471773319883416,2,6923.96446164588,2,"367,733",2,0.00471773319883416,6922.97761,0.001,0.00471773319883416,0.001
"427,528",0.005,2,6987.81692574181,"420,528",0.00489614278223103,2,6989.80360005504,2,"420,528",2,0.00489614278223103,6982.38664,0.007,0.00489614278223103,0.007
"129,362,730",0.005,3,6894.07528486487,"129,362,730",0.00445385502903402,3,6895.30483731805,2,"129,362,730",3,0.00445385502903402,6888.46038,0,0.00445385502903402,0
"167,282,453,673,790",0.005,5,7099.01800878856,"166,282,453,674,790",0.00374159559382984,5,7081.94428242364,2,"166,282,453,674,790",5,0.00374159559382984,7081.69204,0.002,0.00374159559382984,0.002
"146,259,369,507,655,792",0.005,6,6969.91389830763,"146,260,371,507,655,793",0.00511840542913904,6,6980.89161142986,2,"146,260,371,507,655,793",6,0.00511840542913904,6958.44423,0.004,0.00511840542913904,0.004
"343,471,857",0.005,3,7039.6572645322,"344,471,857",0.00442461869208064,3,7033.99487237058,2,"344,471,857",3,0.00442461869208064,7033.2751,0.001,0.00442461869208064,0.001
"240,449,749",0.005,3,6927.28227076263,"240,450,746",0.00539054993643418,3,6920.64526843282,2,"240,450,746",3,0.00539054993643418,6919.62904,0.004,0.00539054993643418,0.004
"205,405,666,868",0.005,4,7036.50949062584,"203,401,405,666,869",0.00434779739285847,5,7036.05386483401,3,"203,401,666,869",4,0.00446630767977228,7018.33821,1.003,0.00434779739285847,0.007
